,spectrogram,mel,mfcc
8.730702947845804-8.823582766439909,0.25151408,0.32140312,0.47051495
8.823582766439909-8.916462585034013,0.23003227,0.29435146,0.44960606
8.916462585034013-9.009342403628118,0.22265372,0.28507602,0.4424079
9.009342403628118-9.102222222222222,0.22667244,0.29011545,0.44630462
9.102222222222222-9.195102040816327,0.23843569,0.30492213,0.45778686
9.195102040816327-9.287981859410431,0.24222454,0.30969495,0.4614787
9.287981859410431-9.380861678004536,0.23848942,0.30499074,0.4578411
9.380861678004536-9.47374149659864,0.22395664,0.28671136,0.44367537
9.47374149659864-9.566621315192744,0.23043895,0.29485738,0.4499907
9.566621315192744-9.659501133786849,0.27822778,0.3551274,0.4964009
9.659501133786849-9.752380952380953,0.21339971,0.27344078,0.43333548
9.752380952380953-9.845260770975058,0.22961879,0.29383522,0.44921094
9.845260770975058-9.93814058956916,0.25178754,0.32173818,0.47076118
9.93814058956916-10.031020408163265,0.22388127,0.28661364,0.44359517
10.031020408163265-10.12390022675737,0.2213426,0.28341883,0.44110596
10.12390022675737-10.216780045351474,0.24777678,0.3166928,0.46688432
10.216780045351474-10.309659863945578,0.23477599,0.30032244,0.45423627
10.309659863945578-10.402539682539683,0.23506445,0.30067813,0.454502
10.402539682539683-10.495419501133787,0.23768455,0.3039767,0.45705575
10.495419501133787-10.588299319727891,0.2347739,0.3003225,0.45423996
10.588299319727891-10.681179138321996,0.22805476,0.2918654,0.44767916
