,spectrogram,mel,mfcc
5.944308390022676-6.03718820861678,0.1376662403345108,0.07315897941589355,56.2282829284668
6.03718820861678-6.130068027210885,0.19328606128692627,0.051825329661369324,52.2635383605957
6.130068027210885-6.222947845804989,0.08156190812587738,0.013977963477373123,58.03626251220703
6.222947845804989-6.315827664399093,0.04699516296386719,0.008196286857128143,61.4885139465332
6.315827664399093-6.408707482993197,0.09522660076618195,0.05067814141511917,59.31862258911133
6.408707482993197-6.501587301587302,0.21493013203144073,0.06940951198339462,51.34614944458008
6.501587301587302-6.594467120181406,0.13231952488422394,0.02128000184893608,54.08233642578125
6.594467120181406-6.6873469387755105,0.04761594533920288,0.006758148781955242,61.710060119628906
6.6873469387755105-6.780226757369615,0.06460480391979218,0.02232711762189865,60.9786376953125
6.780226757369615-6.873106575963719,0.16299386322498322,0.07378984987735748,54.43022918701172
6.873106575963719-6.965986394557823,0.15968021750450134,0.034789711236953735,52.2821044921875
6.965986394557823-7.058866213151927,0.06021524965763092,0.0075141312554478645,59.613250732421875
7.058866213151927-7.151746031746032,0.049285873770713806,0.00894359964877367,61.52368927001953
7.151746031746032-7.244625850340136,0.09345988929271698,0.05582011491060257,59.0692138671875
7.244625850340136-7.337505668934241,0.16943073272705078,0.06193440407514572,53.739715576171875
7.337505668934241-7.430385487528345,0.11193738877773285,0.02079036459326744,55.63420867919922
7.430385487528345-7.5232653061224495,0.052481163293123245,0.008732701651751995,61.448753356933594
7.5232653061224495-7.616145124716553,0.06447812169790268,0.027123108506202698,61.48551559448242
7.616145124716553-7.7090249433106575,0.1595974564552307,0.07016631960868835,54.59025955200195
7.7090249433106575-7.801904761904762,0.13868123292922974,0.03226754069328308,53.47715377807617
7.801904761904762-7.894784580498866,0.055676255375146866,0.008483879268169403,60.47612380981445
7.894784580498866-7.987664399092971,0.05511730909347534,0.01571999303996563,61.904151916503906
7.987664399092971-8.080544217687075,0.11102479696273804,0.060220710933208466,57.76654052734375
8.080544217687075-8.17342403628118,0.14349164068698883,0.05310983583331108,54.639732360839844
8.17342403628118-8.266303854875284,0.08224112540483475,0.013693829998373985,58.13928985595703
8.266303854875284-8.359183673469389,0.051267098635435104,0.008953829295933247,61.87064743041992
8.359183673469389-8.452063492063493,0.07436364144086838,0.03703451529145241,60.99553680419922
8.452063492063493-8.544943310657597,0.16457870602607727,0.07028838247060776,54.04346466064453
8.544943310657597-8.6378231292517,0.1394832730293274,0.03000335395336151,53.83302688598633
8.6378231292517-8.730702947845804,0.051237478852272034,0.007396739907562733,61.08733367919922
8.730702947845804-8.823582766439909,0.05857269465923309,0.01840968430042267,61.90169143676758
8.823582766439909-8.916462585034013,0.14017868041992188,0.07112875580787659,55.87195587158203
8.916462585034013-9.009342403628118,0.1640085130929947,0.04907483607530594,53.50194549560547
9.009342403628118-9.102222222222222,0.07030399888753891,0.011481449007987976,59.436065673828125
9.102222222222222-9.195102040816327,0.05211756005883217,0.0105467913672328,61.79071044921875
9.195102040816327-9.287981859410431,0.0876927301287651,0.04664496332406998,59.839019775390625
9.287981859410431-9.380861678004536,0.1580757200717926,0.06485141813755035,53.5759391784668
9.380861678004536-9.47374149659864,0.11377684772014618,0.022793438285589218,55.96222686767578
9.47374149659864-9.566621315192744,0.0523587204515934,0.009311379864811897,61.67664337158203
9.566621315192744-9.659501133786849,0.06098314747214317,0.020959937945008278,61.3709716796875
9.659501133786849-9.752380952380953,0.1300579458475113,0.0693516880273819,57.00055694580078
9.752380952380953-9.845260770975058,0.15347561240196228,0.04022448882460594,53.32938766479492
9.845260770975058-9.93814058956916,0.057294812053442,0.007771545555442572,60.172080993652344
9.93814058956916-10.031020408163265,0.05336045101284981,0.010937225073575974,61.614540100097656
10.031020408163265-10.12390022675737,0.10220162570476532,0.0575934574007988,58.732276916503906
10.12390022675737-10.216780045351474,0.18183687329292297,0.06381489336490631,52.32786178588867
10.216780045351474-10.309659863945578,0.10096482932567596,0.01653628796339035,56.45684051513672
10.309659863945578-10.402539682539683,0.04711505025625229,0.006569196004420519,61.86052322387695
10.402539682539683-10.495419501133787,0.0618087500333786,0.02765716053545475,61.41210174560547
10.495419501133787-10.588299319727891,0.16009630262851715,0.07272801548242569,54.49475860595703
10.588299319727891-10.681179138321996,0.14877890050411224,0.035402875393629074,53.99711990356445
10.681179138321996-10.7740589569161,0.05320694297552109,0.007121699396520853,60.99419021606445
10.7740589569161-10.866938775510205,0.05216247960925102,0.0124779362231493,62.04267120361328
10.866938775510205-10.95981859410431,0.10165370255708694,0.06560724973678589,58.83866500854492
10.95981859410431-11.052698412698414,0.1501692533493042,0.049724604934453964,54.06904983520508
