,Loss_mae,Threshold,Anomaly
3.8080725623582765-3.900952380952381,0.5622852508777513,0.4226,True
3.900952380952381-3.9938321995464854,0.5553223697181667,0.4226,True
3.9938321995464854-4.08671201814059,0.6152522794726224,0.4226,True
4.08671201814059-4.179591836734694,0.5879657933618284,0.4226,True
4.179591836734694-4.272471655328799,0.5898818261457681,0.4226,True
4.272471655328799-4.365351473922902,0.5405466327738767,0.4226,True
4.365351473922902-4.458231292517007,0.6025612567993417,0.4226,True
4.458231292517007-4.551111111111111,0.6390291856891079,0.4226,True
4.551111111111111-4.6439909297052155,0.5674315218790037,0.4226,True
4.6439909297052155-4.73687074829932,0.5334767866523435,0.4226,True
4.73687074829932-4.829750566893424,0.5614609472881353,0.4226,True
4.829750566893424-4.922630385487529,0.6826145309887917,0.4226,True
4.922630385487529-5.015510204081632,0.6086723099566312,0.4226,True
5.015510204081632-5.108390022675737,0.5853906782221042,0.4226,True
5.108390022675737-5.201269841269841,0.5902982981803487,0.4226,True
5.201269841269841-5.294149659863946,0.6241504549397167,0.4226,True
5.294149659863946-5.38702947845805,0.6116751869822813,0.4226,True
5.38702947845805-5.479909297052155,0.6006871525679915,0.4226,True
5.479909297052155-5.572789115646259,0.5586612144568748,0.4226,True
5.572789115646259-5.6656689342403626,0.5812690935947291,0.4226,True
5.6656689342403626-5.758548752834467,0.6684862453349507,0.4226,True
5.758548752834467-5.851428571428571,0.5983717181493582,0.4226,True
5.851428571428571-5.944308390022676,0.5629441146915156,0.4226,True
5.944308390022676-6.03718820861678,0.539455563587801,0.4226,True
6.03718820861678-6.130068027210885,0.6340948858821563,0.4226,True
6.130068027210885-6.222947845804989,0.644667500133297,0.4226,True
6.222947845804989-6.315827664399093,0.555188675838564,0.4226,True
6.315827664399093-6.408707482993197,0.5302491807613937,0.4226,True
6.408707482993197-6.501587301587302,0.6246418729078875,0.4226,True
6.501587301587302-6.594467120181406,0.6220292555459237,0.4226,True
6.594467120181406-6.6873469387755105,0.5631864966055536,0.4226,True
6.6873469387755105-6.780226757369615,0.5435723574204823,0.4226,True
6.780226757369615-6.873106575963719,0.5602011124103683,0.4226,True
6.873106575963719-6.965986394557823,0.5739751858091047,0.4226,True
